StartDate,EndDate,IPAddress,Progress,Duration__in_seconds_,Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q5,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q9,Q8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q11,Q12,Q12_6_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_7_TEXT,Q19,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q18,Q23,Q24,Q25,Q26,Q26_1_TEXT,Q27,Q27_1_TEXT,Q28,Q29,Q30,Q31,Q32,SCREENED
10/5/2017,10/5/2017,69.196.64.74,100,1184,1,10/5/2017,R_3HjM63HZvAaezRq,49.260299682617,-123.14599609375,anonymous,EN,150,5,2,5,1,1,2,2,1,1, , ,1, , , , ,4,3,5,5,4,1,1,2,2,5,3,1,2,5, ,3, ,1,4,5,5,5,1,5,5,5,1, , , , , , ,1,"I was abroad for 2 years so didn't use the service. Also, though carsharing is cheaper than owing my own vehicle it's still an expense, so I try to be careful with how much I use it, ie. try to be less lazy and take transit for trips where a car isn't totally necessary.","I think we are extremely lucky to live in the carsharing epicentre of the world and have so many options available to us for our transportation needs. Between Modo, Evo, and my transit pass, I have everything I need.", , , , , ,1,3,2,2,4,1,1,1,0,1,2,3,2,1, 
10/5/2017,10/5/2017,69.196.64.74,100,1554,1,10/5/2017,R_3Msd6NrIpSn9eiE,49.260299682617,-123.14599609375,anonymous,EN,144,4,6,4,2,2,3,3,4,1,1,1, , , , , ,3,1,4,5,2,1,2,2,1,2,2,5,5,1,1,5, ,1,1,1,3,1,1,5,1,5,2, , , , , , , , ,"It feels like a significant number of carshare users don't care of the sharing part of carsharing. They trash/damage the vehicles, drive/park poorly and don't respect thes rule which too often results in a mediocre experience for other users and increase operation costs for the carshare operators (who then increase the rates for everyone). 

I'd like carsharing operators to do a better job at holding users accountable for their poor/misbehavior so we do not all pay the price.", , , , , ,1,2,2,1,3,1,2,1,1,1,1,1,6,1, 
10/5/2017,10/5/2017,209.90.185.130,100,380,1,10/5/2017,R_UrOrogIviFXHkZ3,49.279495239258,-123.06669616699,anonymous,EN,150,6,5,3,1,2,3,3,4,1, , , , , , , ,5,5,3,5,4,1,1,2,2,4,4,3,4,2,2,3, ,4,4,2,5,4,5,4,5,5,2, , , , , , , , ,The situation has improved considerably., ,1, ,1, , ,2,3,1,5,1,2,1,1,2,1,3,6,1, 
10/5/2017,10/5/2017,142.31.54.100,100,314,1,10/5/2017,R_2Enj9DE5cpF7407,48.426696777344,-123.36550140381,anonymous,EN,154,7,4,2,2,2,3,2,1,1, , , , , , , ,2,5,5,5,1,1,1, ,1,5,3,4,2,1,1,2, ,5,1,5,5,5,5,5,5,5,2, , , , , , , , , , , , , , ,1,2,1,2,5,1,1,1,0,1,2,3,3,1, 
10/5/2017,10/5/2017,184.71.13.142,100,355,1,10/5/2017,R_3MuS3fVTvrbRLYv,48.426696777344,-123.36550140381,anonymous,EN,154,6,1,3,1,3,2,2,1,1, , , , , , , ,1,4,5,5,5,1,1,1,1, , ,2,2,1,1,3, ,1,4,3,5,5,5,5,5,5,2, , , , , , , , , , , , , , ,1,2,1,2,2,1,1,1,0,1,2,2,2,1, 
10/5/2017,10/5/2017,207.194.133.9,100,262,1,10/5/2017,R_bP0iTLrq8GasjPH,48.4501953125,-123.34349822998,anonymous,EN,154,6,2,2,2,1,1,3,3,1, , , , , , , ,2,5,4,5,5, ,1,1,2,2, ,2,2,2,2,6,I use the carshare for jobs where I need a van/truck (I own a scooter),1,1,1,4,1,1,1,1,4,1, , , , , ,1, , ,I'm not in Metro Vancouver, ,1,1,1, , ,1,2,2,5,1,1,1,1,1,2,2,3,1, 
10/5/2017,10/5/2017,75.155.151.244,100,335,1,10/5/2017,R_1g2rQxmRExgEmm3,49.227493286133,-122.9300994873,anonymous,EN,138,4,4,4,1,1,4,1,1,1, , , , , , , ,1,5,5,5,5, ,5,2,2,5,5,5,1,1,2,1, , , ,1,5,5,5,5,5,5,1,1, , , , , , , , , , , , , ,1,3, ,4,4,1,1,1,0,1,1,3, ,1, 
10/5/2017,10/5/2017,174.7.174.83,100,469,1,10/5/2017,R_r6BxxXx7lYh2bAJ,49.283294677734,-123.12979888916,anonymous,EN,139,2,1,7,3,1,2,3,3,1, , ,1, , , , ,2,1,5,5,3,1,1,2,2,5,5,1,5,5,1,4, ,5,2,5,4,4,4,4,1,4,2, , , , , , , , ,Needs more options in suburbs!, , , ,1, , ,2,1,1,4,1,4,1,1,1,2,1, ,1, 
10/5/2017,10/5/2017,173.180.2.233,100,383,1,10/5/2017,R_siJmMs7S0t1qc25,49.276702880859,-123.13000488281,anonymous,EN,150,7,1,7,1,2,3,2,1,1, ,1,1, , , , ,3,4,5,5,4,4,1,1,1,5,5,4,2,2,1,1, ,2,3,2,5,4,5,4,5,5,2, , , , , , , , , , , , ,1, , ,1,4,1,3,1,2,1,0,1,1,3,6,1, 
10/5/2017,10/5/2017,142.58.248.129,100,373,1,10/5/2017,R_1jHB8rsCJWm2Cyv,49.25,-122.94999694824,anonymous,EN,138,4,4,3,1,1,2,2,2,1, , , , , , , ,4,5,5,5,2,1,1,2,1,5,4,1,2,5,2,3, ,5,3,4,3,5,4,5,5,5,1, , , , , , ,1,I have a borrowed vehicle for 5 months of the year.,I love it! What an egalitarian option for having access to a vehicle when needed., , , , , ,1,3,2,2,3,1,2,1,0,1,2,2,2,1, 
